Poblacion;LMZ;DMZ;AGR;LGR;PROL;GRXM;PESO_1000;REND;ALTPL;ALTMZ
152;16,95;41,25;8,6;10,5;0,95;2762,1;282;7843,9;154,5;92,25
151;15,4;38,4;8,3;9,4;0,99;2223,6;259,5;5760,2;138;86,5
102;17,35;42,5;8,3;10;1,12;2975,6;294,5;8777,5;148,75;86,75
98;18,05;44,5;8,4;10,2;0,9;2813,7;314,5;8881,2;141,25;86
92;16,15;41,15;8,7;9,9;1,04;2464,9;335;8256,3;144;83,75
90;18,5;45,1;9,6;10,2;1,08;2394;285;6820,3;139,5;84,25
87;18,55;45,65;8,7;10,4;0,965;2673,8;304,5;8141,8;142,25;84,25
86;16,55;43;8;9,5;0,96;2968,8;281;8373,9;155,75;92,75
82;16,15;45,2;8,8;10,9;1,01;2489,7;307;7642,2;145,5;93
62;17,55;35,95;9,1;8,9;0,945;1804,2;275,5;4968,4;138,75;74,5
61;18,7;36,75;9,4;9,7;1,025;2128,4;291,5;6202,9;154,25;94,5
47;15,95;42,35;8,1;9,9;1,05;2104;211,5;4443,7;152,5;96,5
45;17,7;43,3;8,5;9,5;0,91;2239,8;268,5;6014,8;140;82,75
44;15,2;37,25;7,7;8,8;0,695;1307;205;2677,3;155;98
43;16,95;43,3;10;9,7;0,875;1731,7;319;5523,9;144,5;89,25
40;17;41,3;8,7;9,8;1,03;2267;264,5;5992;152,75;97
39;16,95;42,95;8,9;10,5;1,09;2863,8;297,5;8523,3;147,5;90,75
38;15;41,5;8;9,2;1,185;2757,6;279;7693,6;148;96
28;17;43;9,1;10,3;1;2397;307;7363,2;153,5;94
27;17,25;40,95;8,9;10,6;1,08;2338;304;7098,7;151,25;90,25
26;16,7;42,4;9,4;10,3;1;2130,1;296,5;6323,4;143,25;83,75
25;16,9;41,1;9,4;10,1;1,095;2155,4;309;6652,2;139,5;86,25
22;16,55;41,4;9,3;9,6;1,15;2452,1;287;7038;124,25;67,75
21;16,2;40,15;9,4;9,7;1,015;2113;308,5;6517,7;140,75;78,25
20;16,3;41,65;9,1;10,1;1,19;2650,2;289,5;7676,8;140,75;91,25
19;16,6;40,05;8,4;10;1,11;2408,7;257,5;6205,9;145,5;78
17;15,35;40,75;7,8;9,5;1,105;2602,1;256;6681,5;151,5;81,5
16;15,65;42;8,6;9,6;1,31;2757,2;273,5;7524,2;132,5;73,5
15;16,65;40,85;8,4;9,8;0,955;2152,3;250;5381,9;131;71
12;15,95;40,6;8,5;9,9;0,86;1775,3;259;4582,3;146;86,25
3;15,95;41,85;9,1;10,1;0,84;1786,5;313;5595,4;125,5;76,75
